idAller,nomAller0,'REACTION CUTANEE A CAROTTE FRAIS' 
1,'GONFLEMENT A CAUSE DE CAROTTE FRAIS' 
2,'TRAUMATISME GUSTATIF DU CAROTTE FRAIS' 
3,'MORT CAUSEE PAR CAROTTE FRAIS' 
1,'REACTION CUTANEE A CAROTTE PREMIUM' 
2,'GONFLEMENT A CAUSE DE CAROTTE PREMIUM' 
3,'TRAUMATISME GUSTATIF DU CAROTTE PREMIUM' 
4,'MORT CAUSEE PAR CAROTTE PREMIUM' 
2,'REACTION CUTANEE A CAROTTE SELECTION' 
3,'GONFLEMENT A CAUSE DE CAROTTE SELECTION' 
4,'TRAUMATISME GUSTATIF DU CAROTTE SELECTION' 
5,'MORT CAUSEE PAR CAROTTE SELECTION' 
3,'REACTION CUTANEE A CAROTTE TRADITION' 
4,'GONFLEMENT A CAUSE DE CAROTTE TRADITION' 
5,'TRAUMATISME GUSTATIF DU CAROTTE TRADITION' 
6,'MORT CAUSEE PAR CAROTTE TRADITION' 
4,'REACTION CUTANEE A CAROTTE FACON CHEF' 
5,'GONFLEMENT A CAUSE DE CAROTTE FACON CHEF' 
6,'TRAUMATISME GUSTATIF DU CAROTTE FACON CHEF' 
7,'MORT CAUSEE PAR CAROTTE FACON CHEF' 
5,'REACTION CUTANEE A CAROTTE GOURMET' 
6,'GONFLEMENT A CAUSE DE CAROTTE GOURMET' 
7,'TRAUMATISME GUSTATIF DU CAROTTE GOURMET' 
8,'MORT CAUSEE PAR CAROTTE GOURMET' 
6,'REACTION CUTANEE A CAROTTE SAUVAGE' 
7,'GONFLEMENT A CAUSE DE CAROTTE SAUVAGE' 
8,'TRAUMATISME GUSTATIF DU CAROTTE SAUVAGE' 
9,'MORT CAUSEE PAR CAROTTE SAUVAGE' 
7,'REACTION CUTANEE A CAROTTE FUME' 
8,'GONFLEMENT A CAUSE DE CAROTTE FUME' 
9,'TRAUMATISME GUSTATIF DU CAROTTE FUME' 
10,'MORT CAUSEE PAR CAROTTE FUME' 
8,'REACTION CUTANEE A CAROTTE FRIT' 
9,'GONFLEMENT A CAUSE DE CAROTTE FRIT' 
10,'TRAUMATISME GUSTATIF DU CAROTTE FRIT' 
11,'MORT CAUSEE PAR CAROTTE FRIT' 
9,'REACTION CUTANEE A CAROTTE SNACKE' 
10,'GONFLEMENT A CAUSE DE CAROTTE SNACKE' 
11,'TRAUMATISME GUSTATIF DU CAROTTE SNACKE' 
12,'MORT CAUSEE PAR CAROTTE SNACKE' 
10,'REACTION CUTANEE A COURGETTE BIO' 
11,'GONFLEMENT A CAUSE DE COURGETTE BIO' 
12,'TRAUMATISME GUSTATIF DU COURGETTE BIO' 
13,'MORT CAUSEE PAR COURGETTE BIO' 
11,'REACTION CUTANEE A COURGETTE FRAIS' 
12,'GONFLEMENT A CAUSE DE COURGETTE FRAIS' 
13,'TRAUMATISME GUSTATIF DU COURGETTE FRAIS' 
14,'MORT CAUSEE PAR COURGETTE FRAIS' 
12,'REACTION CUTANEE A COURGETTE PREMIUM' 
13,'GONFLEMENT A CAUSE DE COURGETTE PREMIUM' 
14,'TRAUMATISME GUSTATIF DU COURGETTE PREMIUM' 
15,'MORT CAUSEE PAR COURGETTE PREMIUM' 
13,'REACTION CUTANEE A COURGETTE SELECTION' 
14,'GONFLEMENT A CAUSE DE COURGETTE SELECTION' 
15,'TRAUMATISME GUSTATIF DU COURGETTE SELECTION' 
16,'MORT CAUSEE PAR COURGETTE SELECTION' 
14,'REACTION CUTANEE A COURGETTE TRADITION' 
15,'GONFLEMENT A CAUSE DE COURGETTE TRADITION' 
16,'TRAUMATISME GUSTATIF DU COURGETTE TRADITION' 
17,'MORT CAUSEE PAR COURGETTE TRADITION' 
15,'REACTION CUTANEE A COURGETTE FACON CHEF' 
16,'GONFLEMENT A CAUSE DE COURGETTE FACON CHEF' 
